Start_State,On,End_State

START,space,SPACE
START,newline,START
START,open_brace,OPEN_START_TAG
START,close_brace,CLOSE_TAG
START,letter,STRING
START,digit,STRING
START,hyphen,STRING
START,underscore,STRING
START,single_quotation_mark,STRING
START,double_quotation_mark,STRING
START,dot,STRING
START,comma,STRING
START,exclamation_mark,STRING
START,equal,EQUAL

OPEN_START_TAG,forward_slash,OPEN_CLOSE_TAG

STRING,letter,STRING
STRING,digit,STRING
STRING,hyphen,STRING
STRING,underscore,STRING
STRING,single_quotation_mark,STRING
STRING,double_quotation_mark,STRING
STRING,dot,STRING
STRING,comma,STRING
STRING,forward_slash,STRING




