Start_State,On,End_State
START,open_brace,OPEN_START_TAG
OPEN_START_TAG,letter,OPEN_START_TAG_NAME
OPEN_START_TAG_NAME,letter,OPEN_START_TAG_NAME
OPEN_START_TAG_NAME,digit,OPEN_START_TAG_NAME
OPEN_START_TAG_NAME,underscore,OPEN_START_TAG_NAME
OPEN_START_TAG_NAME,hyphen,OPEN_START_TAG_NAME
OPEN_START_TAG_NAME,space,OPEN_START_TAG_NAME
OPEN_START_TAG_NAME,close_brace,CLOSE_START_TAG
OPEN_START_TAG_NAME,forward_slash,OPEN_END_TAG
OPEN_START_TAG,forward_slash,OPEN_END_TAG
OPEN_END_TAG,letter,OPEN_END_TAG_NAME
OPEN_END_TAG_NAME,letter,OPEN_END_TAG_NAME
OPEN_END_TAG_NAME,digit,OPEN_END_TAG_NAME
OPEN_END_TAG_NAME,underscore,OPEN_END_TAG_NAME
OPEN_END_TAG_NAME,hyphen,OPEN_END_TAG_NAME
OPEN_END_TAG_NAME,space,OPEN_END_TAG_NAME
OPEN_END_TAG_NAME,close_brace,CLOSE_END_TAG
START,space,START
START,letter,TEXT
START,digit,TEXT
START,hyphen,TEXT
START,underscore,TEXT
TEXT,letter,TEXT
TEXT,digit,TEXT
TEXT,hyphen,TEXT
TEXT,underscore,TEXT
TEXT,space,TEXT
TEXT,open_brace,OPEN_START_TAG_FROM_ATTRIBUTE
OPEN_START_TAG_FROM_ATTRIBUTE,open_brace,OPEN_START_TAG_NAME
OPEN_START_TAG_FROM_ATTRIBUTE,forward_slash,OPEN_END_TAG
