Start_State,On,End_State
START,space,START
START,open_brace,OPEN_TAG
START,close_brace,CLOSE_TAG
OPEN_TAG,forward_slash,OPEN_TAG
START,letter,CONTENT
START,digit,CONTENT
START,hyphen,CONTENT
START,underscore,CONTENT
START,forward_slash,CONTENT
START,back_slash,CONTENT
START,equal,CONTENT
START,double_quotation_mark,CONTENT
CONTENT,letter,CONTENT
CONTENT,digit,CONTENT
CONTENT,hyphen,CONTENT
CONTENT,underscore,CONTENT
CONTENT,forward_slash,CONTENT
CONTENT,back_slash,CONTENT
CONTENT,equal,CONTENT
CONTENT,double_quotation_mark,CONTENT
CONTENT,close_brace,END_CONTENT
CONTENT,open_brace,END_CONTENT
