Start_State,On,End_State
START,openB,OPEN_START_TAG
START,space,START
OPEN_START_TAG,letter,OPEN_START_TAG_NAME
OPEN_START_TAG_NAME,letter,OPEN_START_TAG_NAME
OPEN_START_TAG_NAME,digit,OPEN_START_TAG_NAME
OPEN_START_TAG_NAME,underscore,OPEN_START_TAG_NAME
OPEN_START_TAG_NAME,hyphen,OPEN_START_TAG_NAME
OPEN_START_TAG_NAME,space,OPEN_START_TAG_NAME
OPEN_START_TAG_NAME,closeB,CLOSE_START_TAG
OPEN_START_TAG_NAME,fSlash,OPEN_END_TAG
OPEN_START_TAG,fSlash,OPEN_END_TAG
OPEN_END_TAG,letter,OPEN_END_TAG_NAME
OPEN_END_TAG_NAME,letter,OPEN_END_TAG_NAME
OPEN_END_TAG_NAME,digit,OPEN_END_TAG_NAME
OPEN_END_TAG_NAME,underscore,OPEN_END_TAG_NAME
OPEN_END_TAG_NAME,hyphen,OPEN_END_TAG_NAME
OPEN_END_TAG_NAME,space,OPEN_END_TAG_NAME
OPEN_END_TAG_NAME,closeB,CLOSE_END_TAG
START,letter,TEXT
START,digit,TEXT
START,hyphen,TEXT
START,underscore,TEXT
TEXT,letter,TEXT
TEXT,digit,TEXT
TEXT,hyphen,TEXT
TEXT,underscore,TEXT
TEXT,space,TEXT
TEXT,openB,OPEN_START_TAG_FROM_ATTRIBUTE
OPEN_START_TAG_FROM_ATTRIBUTE,openB,OPEN_START_TAG_NAME
OPEN_START_TAG_FROM_ATTRIBUTE,fSlash,OPEN_END_TAG




